application_id,arn,card_number,customer_id,transaction_datetime,transaction_amount,description
606637059168710353,748774899,4186540615717330,85970942662,2025-03-02 10:39:08,"2,819.39",High at rise most forward explain.
540535344213253329,521610190,4122388012501338,70483526088,2024-05-21 15:24:11,"4,325.87",Toward three six role do focus.
888397202308376094,324830886,4701361261282305,47255427073,2025-03-04 15:53:51,"3,020.33",Here whatever knowledge.
750209753880216014,321940666,4053910267815494,35482204259,2024-08-23 02:19:48,340.22,Line daughter free.
889979180361109259,176862404,4095728101189714,43926226268,2025-03-05 07:01:10,"4,586.6",Brother knowledge spring.
520775843498988922,271795441,4272770875978224,32296877126,2024-06-29 13:40:09,"2,149.69",Above word their.
585556579915498804,749773499,4105911387961588,84899175726,2024-10-08 21:32:41,"4,355.75",Perform imagine prove it grow pressure.
289622801736292365,703619858,4168084464585268,96403510189,2024-06-09 12:15:03,864.04,Help behind very without.
435260825522155879,705031087,4897165401815203,28754350067,2024-11-13 14:10:04,388.85,After window happen plant.
781049919506406122,813590220,4858319769496489,34400918694,2024-12-22 13:00:51,"2,314.45",Fall notice toward blue water.
877249397965384232,293397756,4229246683064576,23172128561,2024-07-26 09:20:29,"1,142.16",Travel say interest.
264340994685419725,129338452,4728231294070267,30182600655,2024-04-08 15:50:51,"1,877.72",Build real send performance hair better.
922201785494548053,877271788,4672224298717476,57453785052,2024-12-23 03:37:55,"3,147.44",Talk keep always low true sit.
441902098332141044,113219054,4611063465386275,66623818978,2024-05-14 10:58:37,"1,915.23",Question surface grow new dream design.
524457590301859043,262969287,4316272112932229,56822720850,2024-06-24 08:54:04,"4,932.27",Foot so none.
429234218108779144,208820779,4539724956650649,24863613250,2025-02-05 20:46:45,"3,391.94",Example scene successful describe important billion.
833895032508122273,378161806,4158430760772922,84529081517,2024-03-20 04:24:43,"3,750.05",Hope live heavy wonder true.
622178534271382749,930325451,4307713204026355,82275363893,2024-05-11 20:21:24,"2,344.49",Television manager pretty sign.
221044239112164086,752607467,4441267137148213,54417937639,2025-02-21 16:58:25,"2,106.52",Occur style everybody coach step song.
623349518686714351,524651801,4609901950916706,50500598497,2024-10-23 02:51:31,"4,976.09",Surface including rule six drive seat.
970029705270105338,332612506,4387494069456259,27942092548,2024-06-22 12:54:05,"4,727.36",Rest kind pass born cut.
518067429832158443,254210672,4514385148490416,62309049379,2024-08-15 22:59:42,"4,648.1",Trade significant foot common choice audience.
835231386627964782,284437812,4774676791828802,74073271821,2024-11-29 17:27:49,"3,001.13",Third challenge single run day back.
100020691248086814,933466687,4872762398298077,90687662399,2024-03-18 17:34:10,"4,171.23",Job able fact our.
664241495302009068,865616547,4008392070585869,59920122556,2025-03-03 06:27:34,785.7,Morning thing doctor yet here learn.
165394428305257309,816745213,4870597844755912,84551783335,2024-11-18 01:11:49,"2,729.02",My area level us.
246501607100512788,128135228,4834237146113909,71556438325,2024-12-19 01:01:20,536.96,Task good deep boy sense.
123836059117606561,564796902,4676984696259480,92519136300,2024-09-25 16:42:55,"3,827.43",Site institution detail board.
375318729358524571,364456832,4859744574782758,75425273603,2024-04-17 05:25:31,950.29,Within position contain.
974989137760035154,124483372,4320446007421845,89805940948,2024-04-29 23:35:10,"4,083.41",Expect sort deep natural story.
665265523199822948,283990926,4695652638676445,94234001608,2024-12-20 08:04:51,"4,952.21",Line along trouble should.
348898284710487505,271402565,4429858358027684,13248877178,2024-05-23 20:32:35,"4,327.86",Simply poor student read eat.
503646770791293147,446314272,4291728044847305,46490873669,2024-12-02 05:28:59,"1,212.72",Stage not painting community attention international.
883652742869105051,833067021,4575982911393615,77955304396,2024-04-04 02:03:11,"4,449.56",Actually participant recently or.
450967056801899348,821296057,4179838840460109,19286972815,2024-05-31 18:20:51,"3,884.43",Challenge rock world laugh improve manage.
427524668667967875,318219309,4772749431005933,63538300368,2024-05-07 23:56:28,"3,343.38",Air product challenge not church special.
825374865220627701,462104937,4073990126162730,89209566817,2024-10-25 11:09:20,"3,851.9",Special course rise support prove.
341568263277506481,302559704,4233946630795628,11574961659,2025-02-08 12:07:38,"3,472.7",Throughout relationship how.
129676316159073662,616862152,4700511318992212,88657265135,2024-12-23 11:02:47,"1,486.91",Five eight call impact.
515250234984266638,819250053,4629391066644739,53017608696,2025-02-17 08:03:06,"1,037.97",Practice commercial visit imagine help system.
472933017283131106,322111225,4422916618387640,88823528209,2024-06-05 04:17:59,"4,803.43",Policy allow interest.
936058380987241277,256503623,4600992759568326,14400783535,2024-08-21 03:31:19,"4,878.63",Hold reality camera security close focus.
440213234335938210,789316017,4935966492114594,15907977711,2024-08-30 11:24:19,"3,778.99",Give fly late new.
290673400101842907,530966024,4324942969114713,18068618840,2024-06-22 02:44:37,520.99,Anything kind Congress strong so.
753312658685687212,219941404,4080638375978667,19155725456,2025-03-01 23:53:14,"4,600.21",Ability sometimes according floor.
694544796736553930,883481434,4661670610904825,65564970011,2024-04-26 09:41:41,"2,918.06",Argue force toward.
317230816462725071,760207424,4147375194410603,73047903583,2024-10-11 07:05:30,"1,308.65",Occur measure scene amount leg top.
